status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
less than 0;24;no credits taken/all credits paid back duly;car (used);4057;unknown/no savings account;from 4 to 7 yrs;from 25 to 20;male : divorced/separated;none;from 4 to 7 yrs;building soc. savings agr./life insurance;43;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;0
.greater than 200;18;critical account/other credits elsewhere;others;6458;unknown/no savings account;greater than 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;real estate;39;bank;rent;2.Mar;manager/self-empl./highly qualif. employee;3 or more;yes (under customer name);no;0
.greater than 200;12;no credits taken/all credits paid back duly;others;1386;from 100 to 500;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;from 1 to 4 yrs;car or other;26;none;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;36;no credits taken/all credits paid back duly;repairs;1977;greater than 1000;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;40;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
less than 0;18;all credits at this bank paid back duly;car (used);1928;unknown/no savings account;less than 1 yr;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;31;none;rent;2.Mar;unskilled - resident;0 to 2;no;no;0
.greater than 200;12;no credits taken/all credits paid back duly;car (used);1123;from 100 to 500;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;29;none;for free;1;unskilled - resident;0 to 2;no;no;0
less than 0;24;no credits taken/all credits paid back duly;business;11328;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;co-applicant;from 4 to 7 yrs;building soc. savings agr./life insurance;29;bank;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
less than 0;24;all credits at this bank paid back duly;business;11938;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;co-applicant;from 4 to 7 yrs;building soc. savings agr./life insurance;39;none;rent;2.Mar;manager/self-empl./highly qualif. employee;3 or more;yes (under customer name);no;0
less than 0;27;all credits at this bank paid back duly;furniture/equipment;2520;from 100 to 500;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;car or other;23;none;rent;2.Mar;unskilled - resident;0 to 2;no;no;0
less than 0;30;existing credits paid back duly till now;furniture/equipment;1919;less than 100;less than 1 yr;less than 20;male : married/widowed;none;from 4 to 7 yrs;real estate;30;stores;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;no;no;0
less than 0;60;critical account/other credits elsewhere;business;14782;less than 100;greater than 7 yrs;from 25 to 20;female : non-single or male : single;none;greater than 7 yrs;real estate;60;bank;own;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
less than 0;36;no credits taken/all credits paid back duly;furniture/equipment;2671;less than 100;from 1 to 4 yrs;less than 20;female : non-single or male : single;co-applicant;greater than 7 yrs;real estate;50;none;own;1;skilled employee/official;0 to 2;no;no;0
less than 0;36;no credits taken/all credits paid back duly;repairs;12612;less than 100;from 1 to 4 yrs;greater than 35;male : married/widowed;none;greater than 7 yrs;real estate;47;none;own;1;skilled employee/official;3 or more;yes (under customer name);no;0
less than 0;45;no credits taken/all credits paid back duly;furniture/equipment;3031;less than 100;from 1 to 4 yrs;less than 20;male : married/widowed;guarantor;greater than 7 yrs;car or other;21;none;for free;1;skilled employee/official;0 to 2;no;no;0
no checking account;12;critical account/other credits elsewhere;furniture/equipment;626;unknown/no savings account;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;24;bank;rent;1;unskilled - resident;0 to 2;no;no;0
less than 0;24;all credits at this bank paid back duly;retraining;1935;unknown/no savings account;greater than 7 yrs;less than 20;male : divorced/separated;none;greater than 7 yrs;unknown / no property;31;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;0
from 0 to 200;24;all credits at this bank paid back duly;others;1344;greater than 1000;from 4 to 7 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;37;bank;rent;2.Mar;unskilled - resident;3 or more;no;no;0
.greater than 200;18;no credits taken/all credits paid back duly;car (used);1533;unknown/no savings account;less than 1 yr;less than 20;female : single;co-applicant;less than 1 yr;car or other;43;none;rent;1;unskilled - resident;3 or more;no;no;0
no checking account;48;no credits taken/all credits paid back duly;others;3931;unknown/no savings account;from 4 to 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;46;none;own;1;skilled employee/official;3 or more;no;no;0
no checking account;24;critical account/other credits elsewhere;car (used);3349;from 100 to 500;less than 1 yr;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;30;none;own;1;skilled employee/official;3 or more;yes (under customer name);no;0
no checking account;36;no credits taken/all credits paid back duly;furniture/equipment;2302;unknown/no savings account;from 1 to 4 yrs;less than 20;male : divorced/separated;none;greater than 7 yrs;building soc. savings agr./life insurance;31;none;for free;1;skilled employee/official;0 to 2;no;no;0
no checking account;42;no credits taken/all credits paid back duly;furniture/equipment;3965;unknown/no savings account;less than 1 yr;less than 20;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;34;none;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;12;no credits taken/all credits paid back duly;furniture/equipment;727;less than 100;less than 1 yr;less than 20;female : single;none;from 4 to 7 yrs;real estate;33;none;rent;1;unskilled - resident;0 to 2;yes (under customer name);no;0
.greater than 200;48;no credits taken/all credits paid back duly;retraining;3914;greater than 1000;from 1 to 4 yrs;less than 20;male : divorced/separated;none;from 1 to 4 yrs;unknown / no property;38;bank;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;48;no credits taken/all credits paid back duly;retraining;4308;unknown/no savings account;less than 1 yr;from 25 to 20;female : non-single or male : single;none;greater than 7 yrs;car or other;24;none;for free;1;skilled employee/official;0 to 2;no;no;0
less than 0;12;no credits taken/all credits paid back duly;furniture/equipment;1534;unknown/no savings account;less than 1 yr;greater than 35;female : single;none;less than 1 yr;unknown / no property;23;none;for free;1;skilled employee/official;0 to 2;no;no;0
.greater than 200;18;all credits at this bank paid back duly;others;2775;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;car or other;31;bank;rent;2.Mar;skilled employee/official;0 to 2;no;no;0
no checking account;40;all credits at this bank paid back duly;repairs;5998;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;real estate;27;bank;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;0
from 0 to 200;15;all credits at this bank paid back duly;furniture/equipment;1271;greater than 1000;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;real estate;39;none;own;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;0
less than 0;12;no credits taken/all credits paid back duly;others;1295;unknown/no savings account;less than 1 yr;from 25 to 20;female : non-single or male : single;none;less than 1 yr;building soc. savings agr./life insurance;25;none;for free;1;skilled employee/official;0 to 2;no;no;0
less than 0;36;no credits taken/all credits paid back duly;car (new);9398;unknown/no savings account;less than 1 yr;greater than 35;female : single;none;greater than 7 yrs;building soc. savings agr./life insurance;28;none;for free;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
less than 0;12;no credits taken/all credits paid back duly;car (used);951;less than 100;less than 1 yr;less than 20;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;27;bank;for free;greater than 6;skilled employee/official;0 to 2;no;no;0
less than 0;24;no credits taken/all credits paid back duly;others;1355;unknown/no savings account;less than 1 yr;from 25 to 20;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;25;none;rent;1;unskilled - resident;0 to 2;yes (under customer name);no;0
no checking account;48;no credits taken/all credits paid back duly;radio/television;3051;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;54;none;rent;1;skilled employee/official;0 to 2;no;no;0
.greater than 200;36;all credits at this bank paid back duly;others;7855;unknown/no savings account;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;unknown / no property;25;stores;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;0
.greater than 200;18;no credits taken/all credits paid back duly;furniture/equipment;433;unknown/no savings account;unemployed;from 25 to 20;female : non-single or male : single;co-applicant;greater than 7 yrs;unknown / no property;22;none;for free;1;skilled employee/official;0 to 2;no;no;0
.greater than 200;36;existing credits paid back duly till now;retraining;9572;unknown/no savings account;less than 1 yr;greater than 35;male : divorced/separated;none;less than 1 yr;building soc. savings agr./life insurance;28;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;0
less than 0;24;critical account/other credits elsewhere;repairs;1837;unknown/no savings account;from 4 to 7 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;real estate;34;bank;own;1;unskilled - resident;0 to 2;no;no;0
less than 0;30;all credits at this bank paid back duly;others;4249;unknown/no savings account;unemployed;less than 20;female : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;28;none;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;no;no;0
less than 0;30;all credits at this bank paid back duly;others;5234;unknown/no savings account;unemployed;less than 20;female : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;28;none;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;no;no;0
no checking account;48;no credits taken/all credits paid back duly;furniture/equipment;6758;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;31;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;0
no checking account;9;no credits taken/all credits paid back duly;furniture/equipment;1366;unknown/no savings account;less than 1 yr;from 25 to 20;female : non-single or male : single;none;greater than 7 yrs;car or other;22;none;for free;1;skilled employee/official;0 to 2;no;no;0
no checking account;24;critical account/other credits elsewhere;business;1358;greater than 1000;greater than 7 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;40;stores;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
no checking account;18;no credits taken/all credits paid back duly;car (used);2473;unknown/no savings account;unemployed;less than 20;male : married/widowed;none;less than 1 yr;building soc. savings agr./life insurance;25;none;rent;1;unemployed/unskilled - non-resident;0 to 2;no;no;0
from 0 to 200;9;delay in paying off in the past;furniture/equipment;1337;unknown/no savings account;less than 1 yr;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;34;none;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
no checking account;48;no credits taken/all credits paid back duly;others;7763;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;42;bank;own;1;manager/self-empl./highly qualif. employee;0 to 2;no;no;0
less than 0;15;critical account/other credits elsewhere;others;1264;less than 100;from 1 to 4 yrs;from 35 to 25;female : single;none;from 1 to 4 yrs;car or other;25;none;for free;1;skilled employee/official;0 to 2;no;no;0
less than 0;15;no credits taken/all credits paid back duly;others;2631;less than 100;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;28;none;for free;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;0
less than 0;48;no credits taken/all credits paid back duly;others;6560;less than 100;from 4 to 7 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;car or other;24;none;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;24;no credits taken/all credits paid back duly;others;3123;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;less than 1 yr;car or other;27;none;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;36;all credits at this bank paid back duly;repairs;8065;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;female : non-single or male : single;none;from 1 to 4 yrs;real estate;25;none;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
no checking account;24;no credits taken/all credits paid back duly;furniture/equipment;2439;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;35;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;0
less than 0;36;no credits taken/all credits paid back duly;car (used);9034;less than 100;less than 1 yr;less than 20;male : married/widowed;co-applicant;less than 1 yr;real estate;29;none;for free;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
less than 0;60;no credits taken/all credits paid back duly;others;14027;unknown/no savings account;from 4 to 7 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;real estate;27;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
no checking account;36;all credits at this bank paid back duly;car (new);9629;unknown/no savings account;from 4 to 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;24;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;0
less than 0;12;no credits taken/all credits paid back duly;furniture/equipment;1484;greater than 1000;from 1 to 4 yrs;from 35 to 25;female : single;none;less than 1 yr;unknown / no property;25;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;0
no checking account;18;no credits taken/all credits paid back duly;car (used);1131;unknown/no savings account;unemployed;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;33;none;rent;1;skilled employee/official;0 to 2;no;no;0
less than 0;24;existing credits paid back duly till now;car (used);2064;unknown/no savings account;unemployed;from 25 to 20;female : non-single or male : single;none;from 1 to 4 yrs;car or other;34;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
less than 0;18;no credits taken/all credits paid back duly;car (new);12976;unknown/no savings account;unemployed;from 25 to 20;female : non-single or male : single;none;greater than 7 yrs;real estate;38;none;own;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
.greater than 200;21;existing credits paid back duly till now;retraining;2580;from 100 to 500;less than 1 yr;less than 20;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;41;bank;rent;1;unskilled - resident;3 or more;no;no;0
.greater than 200;27;no credits taken/all credits paid back duly;others;2570;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;female : non-single or male : single;none;from 4 to 7 yrs;unknown / no property;21;none;for free;1;skilled employee/official;0 to 2;no;no;0
less than 0;27;no credits taken/all credits paid back duly;retraining;3915;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;36;none;rent;1;skilled employee/official;3 or more;yes (under customer name);no;0
.greater than 200;10;no credits taken/all credits paid back duly;others;1309;greater than 1000;from 1 to 4 yrs;less than 20;male : married/widowed;guarantor;greater than 7 yrs;car or other;27;none;rent;1;unskilled - resident;0 to 2;no;no;0
no checking account;24;no credits taken/all credits paid back duly;others;4817;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : married/widowed;co-applicant;from 4 to 7 yrs;car or other;31;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;0
no checking account;12;no credits taken/all credits paid back duly;others;2579;unknown/no savings account;less than 1 yr;less than 20;male : married/widowed;none;less than 1 yr;unknown / no property;33;none;rent;1;unskilled - resident;3 or more;no;no;0
less than 0;36;existing credits paid back duly till now;others;2225;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;57;bank;own;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;0
no checking account;18;no credits taken/all credits paid back duly;car (used);4153;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;co-applicant;from 4 to 7 yrs;building soc. savings agr./life insurance;42;none;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;18;delay in paying off in the past;car (used);3114;unknown/no savings account;less than 1 yr;greater than 35;female : non-single or male : single;none;greater than 7 yrs;car or other;26;none;for free;1;skilled employee/official;0 to 2;no;no;0
no checking account;18;all credits at this bank paid back duly;car (used);2124;unknown/no savings account;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;24;none;for free;2.Mar;skilled employee/official;0 to 2;no;no;0
no checking account;18;critical account/other credits elsewhere;car (used);1553;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;44;bank;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;30;no credits taken/all credits paid back duly;car (used);2406;unknown/no savings account;from 4 to 7 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;23;none;for free;1;skilled employee/official;0 to 2;no;no;0
no checking account;24;existing credits paid back duly till now;others;1333;unknown/no savings account;unemployed;less than 20;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;43;none;own;2.Mar;skilled employee/official;3 or more;no;no;0
no checking account;48;delay in paying off in the past;car (used);7119;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;real estate;53;none;own;2.Mar;skilled employee/official;3 or more;no;no;0
no checking account;24;existing credits paid back duly till now;others;4870;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;real estate;53;none;own;2.Mar;skilled employee/official;3 or more;no;no;0
no checking account;12;all credits at this bank paid back duly;others;691;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;car or other;35;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;0
no checking account;42;existing credits paid back duly till now;furniture/equipment;4370;unknown/no savings account;from 4 to 7 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;car or other;26;bank;rent;2.Mar;skilled employee/official;3 or more;yes (under customer name);no;0
no checking account;36;critical account/other credits elsewhere;car (used);2746;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;31;bank;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;24;delay in paying off in the past;car (used);4110;unknown/no savings account;greater than 7 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;real estate;23;bank;for free;2.Mar;skilled employee/official;3 or more;no;no;0
no checking account;18;no credits taken/all credits paid back duly;car (used);2462;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;22;none;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;12;no credits taken/all credits paid back duly;car (used);1282;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;20;none;for free;1;skilled employee/official;0 to 2;no;no;0
less than 0;12;delay in paying off in the past;car (used);2969;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;from 4 to 7 yrs;car or other;25;none;for free;2.Mar;skilled employee/official;0 to 2;no;no;0
no checking account;48;delay in paying off in the past;car (new);4605;unknown/no savings account;greater than 7 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;real estate;24;none;own;2.Mar;skilled employee/official;3 or more;no;no;0
no checking account;48;all credits at this bank paid back duly;car (new);6331;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;46;none;own;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;0
no checking account;24;critical account/other credits elsewhere;car (used);3552;unknown/no savings account;from 4 to 7 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;27;bank;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;12;critical account/other credits elsewhere;others;697;unknown/no savings account;less than 1 yr;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;46;bank;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;0
no checking account;24;no credits taken/all credits paid back duly;others;1442;unknown/no savings account;from 4 to 7 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;23;none;for free;2.Mar;skilled employee/official;0 to 2;no;no;0
no checking account;27;delay in paying off in the past;retraining;5293;unknown/no savings account;unemployed;from 35 to 25;male : married/widowed;none;greater than 7 yrs;car or other;50;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;0
no checking account;21;existing credits paid back duly till now;repairs;3414;unknown/no savings account;less than 1 yr;from 35 to 25;male : married/widowed;none;less than 1 yr;car or other;26;stores;rent;2.Mar;skilled employee/official;0 to 2;no;no;0
no checking account;18;no credits taken/all credits paid back duly;car (used);2039;unknown/no savings account;from 1 to 4 yrs;greater than 35;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;20;none;for free;1;skilled employee/official;0 to 2;no;no;0
no checking account;24;critical account/other credits elsewhere;retraining;3161;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;car or other;31;bank;for free;1;skilled employee/official;0 to 2;yes (under customer name);no;0
no checking account;12;no credits taken/all credits paid back duly;vacation;902;unknown/no savings account;from 4 to 7 yrs;less than 20;female : single;none;greater than 7 yrs;car or other;21;none;for free;1;skilled employee/official;0 to 2;no;no;0
no checking account;48;no credits taken/all credits paid back duly;car (new);10297;unknown/no savings account;from 4 to 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;39;none;own;4.May;skilled employee/official;3 or more;yes (under customer name);no;0
less than 0;48;delay in paying off in the past;retraining;14421;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;25;stores;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;0
less than 0;18;all credits at this bank paid back duly;others;1056;unknown/no savings account;greater than 7 yrs;from 25 to 20;male : married/widowed;guarantor;from 4 to 7 yrs;unknown / no property;30;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;0
no checking account;12;no credits taken/all credits paid back duly;others;1274;unknown/no savings account;less than 1 yr;from 25 to 20;female : non-single or male : single;none;less than 1 yr;unknown / no property;37;bank;rent;1;unskilled - resident;0 to 2;no;no;0
less than 0;12;no credits taken/all credits paid back duly;others;1223;unknown/no savings account;greater than 7 yrs;greater than 35;male : divorced/separated;none;less than 1 yr;unknown / no property;46;none;for free;2.Mar;skilled employee/official;0 to 2;no;no;0
no checking account;12;no credits taken/all credits paid back duly;others;1372;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : divorced/separated;none;from 4 to 7 yrs;building soc. savings agr./life insurance;36;none;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;16;all credits at this bank paid back duly;others;2625;unknown/no savings account;greater than 7 yrs;from 35 to 25;male : married/widowed;guarantor;greater than 7 yrs;car or other;43;none;for free;1;skilled employee/official;0 to 2;yes (under customer name);yes;0
no checking account;20;all credits at this bank paid back duly;others;2235;unknown/no savings account;from 1 to 4 yrs;less than 20;female : single;guarantor;from 1 to 4 yrs;car or other;33;bank;for free;2.Mar;skilled employee/official;0 to 2;no;yes;0
less than 0;9;no credits taken/all credits paid back duly;car (used);959;unknown/no savings account;from 1 to 4 yrs;greater than 35;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;29;bank;rent;1;skilled employee/official;0 to 2;no;no;0
less than 0;18;all credits at this bank paid back duly;others;884;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;36;none;rent;1;skilled employee/official;3 or more;yes (under customer name);no;0
less than 0;24;no credits taken/all credits paid back duly;others;1246;unknown/no savings account;less than 1 yr;less than 20;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;23;bank;rent;1;unskilled - resident;0 to 2;no;no;0
less than 0;36;existing credits paid back duly till now;others;8086;less than 100;greater than 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;42;stores;rent;greater than 6;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
.greater than 200;48;all credits at this bank paid back duly;others;10127;from 100 to 500;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;real estate;44;none;own;1;skilled employee/official;0 to 2;no;no;0
less than 0;12;no credits taken/all credits paid back duly;others;888;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;41;bank;rent;1;unskilled - resident;3 or more;no;no;0
.greater than 200;12;no credits taken/all credits paid back duly;repairs;719;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;41;bank;rent;1;unskilled - resident;3 or more;no;no;0
less than 0;36;no credits taken/all credits paid back duly;others;12389;greater than 1000;from 1 to 4 yrs;greater than 35;male : married/widowed;none;greater than 7 yrs;real estate;37;bank;own;1;skilled employee/official;0 to 2;yes (under customer name);no;0
no checking account;12;no credits taken/all credits paid back duly;furniture/equipment;709;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;57;none;rent;1;unskilled - resident;0 to 2;no;no;0
less than 0;15;critical account/other credits elsewhere;others;6850;less than 100;unemployed;greater than 35;male : married/widowed;none;from 1 to 4 yrs;car or other;34;stores;rent;1;manager/self-empl./highly qualif. employee;3 or more;yes (under customer name);no;0
.greater than 200;10;no credits taken/all credits paid back duly;car (used);2210;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;25;none;for free;1;unskilled - resident;0 to 2;no;no;0
.greater than 200;30;critical account/other credits elsewhere;car (new);7485;greater than 1000;unemployed;less than 20;female : non-single or male : single;none;less than 1 yr;unknown / no property;53;bank;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
no checking account;18;critical account/other credits elsewhere;others;1442;unknown/no savings account;from 4 to 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;32;bank;own;2.Mar;unskilled - resident;3 or more;no;no;0
.greater than 200;12;all credits at this bank paid back duly;furniture/equipment;797;greater than 1000;greater than 7 yrs;less than 20;female : non-single or male : single;none;from 4 to 7 yrs;car or other;33;none;rent;1;unskilled - resident;3 or more;no;no;0
less than 0;45;all credits at this bank paid back duly;furniture/equipment;4746;unknown/no savings account;less than 1 yr;less than 20;male : married/widowed;none;from 1 to 4 yrs;car or other;24;bank;rent;2.Mar;unskilled - resident;0 to 2;no;no;0
from 0 to 200;12;all credits at this bank paid back duly;others;939;from 100 to 500;from 4 to 7 yrs;less than 20;female : single;none;from 1 to 4 yrs;unknown / no property;28;none;rent;4.May;skilled employee/official;0 to 2;yes (under customer name);no;0
less than 0;21;no credits taken/all credits paid back duly;retraining;1188;unknown/no savings account;greater than 7 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;car or other;39;none;rent;1;skilled employee/official;3 or more;no;no;0
.greater than 200;48;all credits at this bank paid back duly;car (new);11590;less than 100;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;24;none;for free;2.Mar;unskilled - resident;0 to 2;no;no;0
from 0 to 200;12;critical account/other credits elsewhere;retraining;609;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;less than 1 yr;unknown / no property;26;bank;rent;1;unemployed/unskilled - non-resident;0 to 2;no;no;0
no checking account;18;all credits at this bank paid back duly;domestic appliances;1190;unknown/no savings account;unemployed;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;real estate;55;none;own;4.May;unemployed/unskilled - non-resident;3 or more;no;no;0
